Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Historical Wards 2003-2015,Wards,Community Areas,Zip Codes,Census Tracts
Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,1145674.75381776,1931569.97904455,41.9682242321,-87.7397474866,"{'latitude': '41.9682242321', 'longitude': '-87.7397474866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,38,14,21869,751
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-855-2209,Interstate Realty Management Co.,220,1176982.24643682,1875311.40664701,41.8131949278,-87.6263367998,"{'latitude': '41.8131949278', 'longitude': '-87.6263367998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,14924,219
Uptown,3,ARO,The Synagogue,5029 N. Kenmore Ave.,60640,855-443-5287,FLATS Leasing,4,,,,,,,,,,
West Town,24,Multifamily,Tierra Linda Apts.,1421 N. Artesian Ave.,60622,773-276-5338,LUCHA,3,,,,,,,,,,
Logan Square,22,Multifamily,Zapata Apts.,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,1152977.19630528,1913047.5159342,41.9172552391,-87.7133892335,"{'latitude': '41.9172552391', 'longitude': '-87.7133892335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15,49,23,22535,387
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,1152271.52454631,1910359.24074225,41.9098923382,-87.7160529794,"{'latitude': '41.9098923382', 'longitude': '-87.7160529794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,24,22535,422
Near North Side,8,Supportive,Carling Hotel,1512 N. LaSalle St.,60610,312-421-1170,Interstate Realty Management Co.,80,1174812.44592983,1910422.21333507,41.9095901427,-87.6332454838,"{'latitude': '41.9095901427', 'longitude': '-87.6332454838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,46,37,14926,290
North Lawndale,29,Multifamily,Park Douglas,1256-60 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,1,1158530.36505902,1893988.19316958,41.8648427949,-87.6935089238,"{'latitude': '41.8648427949', 'longitude': '-87.6935089238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,14920,16
Pullman,50,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,210,1184202.93718311,1836150.18315833,41.7055665942,-87.6010740303,"{'latitude': '41.7055665942', 'longitude': '-87.6010740303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,43,47,21861,254
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.92983148,1852437.46830811,41.7505934139,-87.6547267546,"{'latitude': '41.7505934139', 'longitude': '-87.6547267546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,31,70,21554,575
Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154625.79251378,1904362.10178436,41.8933888222,-87.707565028,"{'latitude': '41.8933888222', 'longitude': '-87.707565028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,177
New City,61,Multifamily,Casa Hidalgo,4600 S. Wood St.,60609,312-248-8355,The Resurrection Project,10,1165081.39997643,1874156.26076116,41.8102854563,-87.6700222697,"{'latitude': '41.8102854563', 'longitude': '-87.6700222697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,3,59,14924,706
West Lawn,65,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89,1145974.07363705,1859144.92352981,41.7694752347,-87.740486055,"{'latitude': '41.7694752347', 'longitude': '-87.740486055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,15,63,4300,318
North Lawndale,29,Multifamily,Park Douglas,1303-15 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,1158279.0515851,1893857.02190438,41.8644879836,-87.6944350832,"{'latitude': '41.8644879836', 'longitude': '-87.6944350832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,14920,16
Lower West Side,31,Multifamily,Casa Queretaro,2012 W. 17th St.,60608,312-666-1323,The Resurrection Project,45,1163154.26148667,1891768.77987539,41.8586566959,-87.6765968934,"{'latitude': '41.8586566959', 'longitude': '-87.6765968934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,366
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,1139471.89642909,1903210.83494725,41.8905193977,-87.7632486365,"{'latitude': '41.8905193977', 'longitude': '-87.7632486365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,45,26,22216,673
West Ridge,2,Senior,Lincoln Village Senior Apts.,6057 N. Lincoln Ave.,60659,773-338-5900,Perlmark Realty Management,99,1153825.5467495,1940243.37931565,41.9918656495,-87.7095450826,"{'latitude': '41.9918656495', 'longitude': '-87.7095450826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,27,20,4450,30
West Ridge,2,Senior,West Ridge Senior Apts.,6142 N. California Ave.,60659,773-381-7400,West Ridge Senior Corp.,117,1156512.51035811,1940837.41077017,41.9934415657,-87.6996454249,"{'latitude': '41.9934415657', 'longitude': '-87.6996454249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,27,20,4450,30
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1152480.60980869,1895702.73751894,41.8696692769,-87.7156724506,"{'latitude': '41.8696692769', 'longitude': '-87.7156724506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21572,98
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3145 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155134.69329312,1903119.26036969,41.8899681469,-87.7057293959,"{'latitude': '41.8899681469', 'longitude': '-87.7057293959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21184,177
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,4130 N. Kenmore Ave.,60640,773-769-3116,"Metroplex, Inc.",13,1168380.03047023,1927860.19400911,41.9575824413,-87.6563694357,"{'latitude': '41.9575824413', 'longitude': '-87.6563694357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,39,31,21186,241
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,60653,773-624-4901,MLG Management,39,1182801.3254214,1873991.94765,41.8094408765,-87.6050334227,"{'latitude': '41.8094408765', 'longitude': '-87.6050334227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,5,21192,461
Logan Square,22,ARO,MiCA,2733 W. Belden Ave.,60647,312-702-2519,2293NMA LLC,22,1157492.64258372,1915110.09376637,41.922824344,-87.6967431262,"{'latitude': '41.922824344', 'longitude': '-87.6967431262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,41,23,22535,294
West Town,24,ARO,East Village Lofts,1100 N. Ashland Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,1,1165486.10482463,1907421.22424563,41.9015589973,-87.667591842,"{'latitude': '41.9015589973', 'longitude': '-87.667591842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,41,25,21560,518
Logan Square,22,Multifamily,Tierra Linda Apts.,3572 W. Palmer St.,60647,773-276-5338,LUCHA,3,,,,,,,,,,
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1176805.95135337,1881719.10781436,41.8307821806,-87.6267901762,"{'latitude': '41.8307821806', 'longitude': '-87.6267901762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,1,14924,353
Woodlawn,42,Multifamily,65th Street Apts.,6400 S. Maryland Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",15,1182961.60842189,1862758.25525382,41.7786109444,-87.6047947203,"{'latitude': '41.7786109444', 'longitude': '-87.6047947203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,347
Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development,3,1138569.74244338,1918921.6328086,41.9336480472,-87.7661803002,"{'latitude': '41.9336480472', 'longitude': '-87.7661803002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,17,19,22254,303
Oakland,36,Multifamily,Oakwood Shores Senior Apts.,3750 S. Cottage Grove Ave.,60653,773-373-1300,The Community Builders,76,1181862.3293714,1880153.55134302,41.8263705668,-87.6082867641,"{'latitude': '41.8263705668', 'longitude': '-87.6082867641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,582
Oakland,36,Multifamily,Lakefront Phase II,1125 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184432.11524197,1877384.38157709,41.8187118792,-87.5989457091,"{'latitude': '41.8187118792', 'longitude': '-87.5989457091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104th St.,60628,773-468-1901,Mercy Housing,10,1178767.71266187,1835996.43290175,41.7052697846,-87.6209818377,"{'latitude': '41.7052697846', 'longitude': '-87.6209818377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,43,45,21861,236
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176967.11972168,1879322.16764571,41.8242011421,-87.6262712265,"{'latitude': '41.8242011421', 'longitude': '-87.6262712265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,1,14924,446
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.17355757,1914216.38283983,41.9207910105,-87.7774775508,"{'latitude': '41.9207910105', 'longitude': '-87.7774775508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,44,19,22615,77
North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,60613,312-337-5339,Holsten Management Corp.,170,1151024.34171912,1899855.05640512,41.8810923305,-87.7209100899,"{'latitude': '41.8810923305', 'longitude': '-87.7209100899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,27,21572,658
West Town,24,Multifamily,Paseo Boricua Apts.,1154 N. Campbell St.,60622,312-602-6500,Hispanic Housing Dev. Corp.,61,1159482.29255128,1907856.10472627,41.902878079,-87.6896325219,"{'latitude': '41.902878079', 'longitude': '-87.6896325219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,49,25,21560,542
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,1153978.22884647,1900741.03511514,41.8834651917,-87.7100399091,"{'latitude': '41.8834651917', 'longitude': '-87.7100399091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,28,21572,176
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,1139038.20773836,1898825.97446503,41.8784946733,-87.7649480305,"{'latitude': '41.8784946733', 'longitude': '-87.7649480305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,7,26,22216,67
Logan Square,22,Multifamily,Tierra Linda Apts.,1808-10 N. Kedzie Ave.,60647,773-276-5338,LUCHA,3,,,,,,,,,,
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,71,1166121.34522665,1862956.68606977,41.779530386,-87.6665265092,"{'latitude': '41.779530386', 'longitude': '-87.6665265092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,3,65,22257,276
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,1154880.60347614,1904286.63927462,41.8931766425,-87.7066312185,"{'latitude': '41.8931766425', 'longitude': '-87.7066312185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21184,177
Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apts.,27,1153649.60311098,1903659.52038047,41.891480351,-87.7111689514,"{'latitude': '41.891480351', 'longitude': '-87.7111689514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,177
Uptown,3,Multifamily,850 Eastwood,850 W. Eastwood Ave.,60640,773-275-6877,Mercy Housing,69,1169619.11318854,1931130.18592414,41.9665284532,-87.6517185639,"{'latitude': '41.9665284532', 'longitude': '-87.6517185639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,39,31,22616,19
Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,85,1178127.35787278,1868790.59534751,41.7952753031,-87.6223343775,"{'latitude': '41.7952753031', 'longitude': '-87.6223343775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,7,21192,401
Lower West Side,31,Multifamily,Casa Tabasco,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,45,1168646.29658184,1890365.99095515,41.8546902787,-87.6564782084,"{'latitude': '41.8546902787', 'longitude': '-87.6564782084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,26,33,14920,365
Lakeview,6,ARO,Viridian on Sheridan,734 W. Sheridan Rd.,60613,847-250-4900,rmk Management,2,1170305.66180762,1926158.03105325,41.9528696876,-87.6493401794,"{'latitude': '41.9528696876', 'longitude': '-87.6493401794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,39,57,21186,690
Loop,32,Multifamily,Randolph Tower City Apts. (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,1174747.57210376,1901307.25243196,41.884579663,-87.6337568335,"{'latitude': '41.884579663', 'longitude': '-87.6337568335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,36,38,14309,92
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,1140544.65155185,1904774.78125207,41.8947914314,-87.7592704828,"{'latitude': '41.8947914314', 'longitude': '-87.7592704828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,45,26,22216,673
Woodlawn,42,Senior,Butler Apts.,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. Corp.,17,1186094.25881798,1864312.84273055,41.7828034603,-87.5932613147,"{'latitude': '41.7828034603', 'longitude': '-87.5932613147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,426
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,1176529.6000626,1880409.30941706,41.8271942191,-87.6278435793,"{'latitude': '41.8271942191', 'longitude': '-87.6278435793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,1,14924,353
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,1180131.92552507,1873998.51950452,41.8095205688,-87.614824016,"{'latitude': '41.8095205688', 'longitude': '-87.614824016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,447
North Park,13,Senior,North Park Village Apts.,5801 N. Pulaski Road,60646,773-478-6890,Elderly Housing Devp. & Operations Corp.,137,1148723.50103629,1938044.23656645,41.9859315142,-87.72836921,"{'latitude': '41.9859315142', 'longitude': '-87.72836921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,38,13,22532,747
Woodlawn,42,Multifamily,65th Street Apts.,6522 S. Ingleside Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",18,1183642.02930266,1861850.34405471,41.7761037074,-87.6023285746,"{'latitude': '41.7761037074', 'longitude': '-87.6023285746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,9,22260,347
South Deering,51,Senior,Porta Coeli Residence,2260 E. 99th St.,60617,773-374-2470,Catholic Charities,86,1193007.252136,1839809.5249601,41.7153982408,-87.5687149518,"{'latitude': '41.7153982408', 'longitude': '-87.5687149518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,47,48,21202,252
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites),4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,1183149.45516709,1874094.4100914,41.8097139386,-87.6037533683,"{'latitude': '41.8097139386', 'longitude': '-87.6037533683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,5,4301,398
Near West Side,28,Multifamily,Westhaven Park Phase IIB,110 N. Wood St.,60612,312-491-1114,Interstate Realty Management Co.,176,1164349.32531246,1900851.12015089,41.8835542602,-87.6719533672,"{'latitude': '41.8835542602', 'longitude': '-87.6719533672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,29,21184,579
Oakland,36,Multifamily,Lake Park Crescent,1061 E. 41st Place,60653,773-268-0200,"Draper and Kramer, Inc.",32,1184161.7757877,1877771.78885836,41.8197812878,-87.5999252673,"{'latitude': '41.8197812878', 'longitude': '-87.5999252673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,2,4301,220
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,1152413.69277322,1896087.18056577,41.8707255523,-87.7159079717,"{'latitude': '41.8707255523', 'longitude': '-87.7159079717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,28,21572,704
Roseland,49,Multifamily,Roseland Ridge Apts.,10513 S. Michigan Ave.,60628,773-341-3158,NHS Redevelopment Corp.,51,1178893.69861194,1835198.53356157,41.7030773785,-87.6205446771,"{'latitude': '41.7030773785', 'longitude': '-87.6205446771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,43,45,21861,236
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,1129403.74488697,1864822.91189786,41.7853541249,-87.8010979955,"{'latitude': '41.7853541249', 'longitude': '-87.8010979955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35,6,53,22268,589
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,42,1156574.00873721,1894894.5102467,41.8673696101,-87.7006662254,"{'latitude': '41.8673696101', 'longitude': '-87.7006662254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,23,30,21184,35
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.4089095,1886029.52776082,41.8427291512,-87.6462472701,"{'latitude': '41.8427291512', 'longitude': '-87.6462472701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,48,58,14920,688
Near North Side,8,Multifamily,Clybourn 1200,1200 N. Clybourn Ave.,60622,312-477-7442,Interstate Realty Management Co.,52,1173039.7455326,1908293.94552508,41.9037895847,-87.6398207738,"{'latitude': '41.9037895847', 'longitude': '-87.6398207738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,37,14926,309
Lincoln Square,4,ARO,The Westner,4618 N. Western Ave.,60625,773-975-7234,Kass Management,2,1159495.40689585,1930676.17560086,41.9654975932,-87.6889543312,"{'latitude': '41.9654975932', 'longitude': '-87.6889543312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,18,6,21849,666
Logan Square,22,Multifamily,Tierra Linda Apts.,1812 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,,,,,,,,,
South Chicago,46,Senior,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living,60,1199523.08542014,1844538.45637883,41.7282135464,-87.5446927939,"{'latitude': '41.7282135464', 'longitude': '-87.5446927939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,47,42,21202,510
West Garfield Park,26,Supportive Housing,The Rebecca Johnson Apts.,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52,1157527.97541372,1898606.33636721,41.8775358858,-87.6970630483,"{'latitude': '41.8775358858', 'longitude': '-87.6970630483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,46,28,21184,51
Near North Side,8,Multifamily,North Town Village II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,1170813.06191015,1908876.86190342,41.9054382467,-87.6479827434,"{'latitude': '41.9054382467', 'longitude': '-87.6479827434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,37,22620,108
North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,60623,773-762-3389,Lawndale Christian Residential Svcs.,26,1150056.06296146,1890463.50315966,41.8553397217,-87.7247100763,"{'latitude': '41.8553397217', 'longitude': '-87.7247100763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,14,30,21569,752
Grand Boulevard,38,Multifamily,Rosenwald Courts Apts.,4642 S. Michigan Ave.,60653,773-819-2267,Mercy Housing,239,1177902.20501091,1874091.16115677,41.809825649,-87.6229993768,"{'latitude': '41.809825649', 'longitude': '-87.6229993768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,354
Near West Side,28,Supportive,Lake Street Studios,727 W. Lake St.,60661,312-274-8200,Interfaith Housing Corp.,61,1171177.97410367,1901637.39545107,41.885564701,-87.6468550832,"{'latitude': '41.885564701', 'longitude': '-87.6468550832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,29,4452,784
Humboldt Park,23,Multifamily,Rosa Parks Apts.,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apts.,6,1152648.97806034,1903805.8046822,41.8919016207,-87.714839929,"{'latitude': '41.8919016207', 'longitude': '-87.714839929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21572,584
Uptown,3,ARO,4801 N. Ravenswood Ave.,4801 N. Ravenswood Ave.,60640,773-929-7050,Hayes Properties Inc.,4,1163544.41432323,1931973.68843896,41.9689734978,-87.6740303236,"{'latitude': '41.9689734978', 'longitude': '-87.6740303236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,18,31,22616,610
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,1179638.24834182,1877940.68309984,41.8203495003,-87.6165141095,"{'latitude': '41.8203495003', 'longitude': '-87.6165141095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,9,4,4301,625
Uptown,3,ARO,Upshore Chapter,4555 N. Sheridan Road,60640,312.229.6446,33 Realty,7,,,,,,,,,,
