"Organization","BSChange","Years","Scenario","Months","BalanceSheet","Value"
"101","Balance","FY1","Current Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Dec","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","May","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Nov","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY1","Previous Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY1","Previous Forecast","Dec","Options Outstanding","1000"
"101","Balance","FY2","Actual","Jan","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Jan","Options Outstanding","1000"
"101","Balance","FY2","Actual","Feb","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Feb","Options Outstanding","1000"
"101","Balance","FY2","Actual","Mar","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Mar","Options Outstanding","1000"
"101","Balance","FY2","Actual","Apr","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Apr","Options Outstanding","1000"
"101","Balance","FY2","Actual","May","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","May","Options Outstanding","1000"
"101","Balance","FY2","Actual","Jun","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Jun","Options Outstanding","1000"
"101","Balance","FY2","Actual","Jul","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Jul","Options Outstanding","1000"
"101","Balance","FY2","Actual","Aug","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Aug","Options Outstanding","1000"
"101","Balance","FY2","Actual","Sep","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Sep","Options Outstanding","1000"
"101","Balance","FY2","Actual","Oct","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Oct","Options Outstanding","1000"
"101","Balance","FY2","Actual","Nov","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Nov","Options Outstanding","1000"
"101","Balance","FY2","Actual","Dec","Common Shares Outstanding","20000"
"101","Balance","FY2","Actual","Dec","Options Outstanding","1000"
"101","Balance","FY2","Budget","Jan","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Jan","Options Outstanding","1000"
"101","Balance","FY2","Budget","Feb","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Feb","Options Outstanding","1000"
"101","Balance","FY2","Budget","Mar","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Mar","Options Outstanding","1000"
"101","Balance","FY2","Budget","Apr","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Apr","Options Outstanding","1000"
"101","Balance","FY2","Budget","May","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","May","Options Outstanding","1000"
"101","Balance","FY2","Budget","Jun","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Jun","Options Outstanding","1000"
"101","Balance","FY2","Budget","Jul","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Jul","Options Outstanding","1000"
"101","Balance","FY2","Budget","Aug","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Aug","Options Outstanding","1000"
"101","Balance","FY2","Budget","Sep","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Sep","Options Outstanding","1000"
"101","Balance","FY2","Budget","Oct","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Oct","Options Outstanding","1000"
"101","Balance","FY2","Budget","Nov","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Nov","Options Outstanding","1000"
"101","Balance","FY2","Budget","Dec","Common Shares Outstanding","20000"
"101","Balance","FY2","Budget","Dec","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","May","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Nov","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY2","Current Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY2","Current Forecast","Dec","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","May","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Nov","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY2","Previous Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY2","Previous Forecast","Dec","Options Outstanding","1000"
"101","Balance","FY3","Actual","Jan","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Jan","Options Outstanding","1000"
"101","Balance","FY3","Actual","Feb","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Feb","Options Outstanding","1000"
"101","Balance","FY3","Actual","Mar","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Mar","Options Outstanding","1000"
"101","Balance","FY3","Actual","Apr","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Apr","Options Outstanding","1000"
"101","Balance","FY3","Actual","May","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","May","Options Outstanding","1000"
"101","Balance","FY3","Actual","Jun","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Jun","Options Outstanding","1000"
"101","Balance","FY3","Actual","Jul","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Jul","Options Outstanding","1000"
"101","Balance","FY3","Actual","Aug","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Aug","Options Outstanding","1000"
"101","Balance","FY3","Actual","Sep","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Sep","Options Outstanding","1000"
"101","Balance","FY3","Actual","Oct","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Oct","Options Outstanding","1000"
"101","Balance","FY3","Actual","Nov","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Nov","Options Outstanding","1000"
"101","Balance","FY3","Actual","Dec","Common Shares Outstanding","20000"
"101","Balance","FY3","Actual","Dec","Options Outstanding","1000"
"101","Balance","FY3","Budget","Jan","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Jan","Options Outstanding","1000"
"101","Balance","FY3","Budget","Feb","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Feb","Options Outstanding","1000"
"101","Balance","FY3","Budget","Mar","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Mar","Options Outstanding","1000"
"101","Balance","FY3","Budget","Apr","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Apr","Options Outstanding","1000"
"101","Balance","FY3","Budget","May","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","May","Options Outstanding","1000"
"101","Balance","FY3","Budget","Jun","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Jun","Options Outstanding","1000"
"101","Balance","FY3","Budget","Jul","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Jul","Options Outstanding","1000"
"101","Balance","FY3","Budget","Aug","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Aug","Options Outstanding","1000"
"101","Balance","FY3","Budget","Sep","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Sep","Options Outstanding","1000"
"101","Balance","FY3","Budget","Oct","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Oct","Options Outstanding","1000"
"101","Balance","FY3","Budget","Nov","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Nov","Options Outstanding","1000"
"101","Balance","FY3","Budget","Dec","Common Shares Outstanding","20000"
"101","Balance","FY3","Budget","Dec","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","May","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Nov","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY3","Current Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY3","Current Forecast","Dec","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","May","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Nov","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Nov","Options Outstanding","1000"
"101","Balance","FY3","Previous Forecast","Dec","Common Shares Outstanding","20000"
"101","Balance","FY3","Previous Forecast","Dec","Options Outstanding","1000"
"102","Balance","FY1","Actual","Jan","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Jan","Options Outstanding","1000"
"102","Balance","FY1","Actual","Feb","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Feb","Options Outstanding","1000"
"102","Balance","FY1","Actual","Mar","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Mar","Options Outstanding","1000"
"102","Balance","FY1","Actual","Apr","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Apr","Options Outstanding","1000"
"102","Balance","FY1","Actual","May","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","May","Options Outstanding","1000"
"102","Balance","FY1","Actual","Jun","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Jun","Options Outstanding","1000"
"102","Balance","FY1","Actual","Jul","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Jul","Options Outstanding","1000"
"102","Balance","FY1","Actual","Aug","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Aug","Options Outstanding","1000"
"102","Balance","FY1","Actual","Sep","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Sep","Options Outstanding","1000"
"102","Balance","FY1","Actual","Oct","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Oct","Options Outstanding","1000"
"102","Balance","FY1","Actual","Nov","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Nov","Options Outstanding","1000"
"102","Balance","FY1","Actual","Dec","Common Shares Outstanding","20000"
"102","Balance","FY1","Actual","Dec","Options Outstanding","1000"
"102","Balance","FY1","Budget","Jan","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Jan","Options Outstanding","1000"
"102","Balance","FY1","Budget","Feb","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Feb","Options Outstanding","1000"
"102","Balance","FY1","Budget","Mar","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Mar","Options Outstanding","1000"
"102","Balance","FY1","Budget","Apr","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Apr","Options Outstanding","1000"
"102","Balance","FY1","Budget","May","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","May","Options Outstanding","1000"
"102","Balance","FY1","Budget","Jun","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Jun","Options Outstanding","1000"
"102","Balance","FY1","Budget","Jul","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Jul","Options Outstanding","1000"
"102","Balance","FY1","Budget","Aug","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Aug","Options Outstanding","1000"
"102","Balance","FY1","Budget","Sep","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Sep","Options Outstanding","1000"
"102","Balance","FY1","Budget","Oct","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Oct","Options Outstanding","1000"
"102","Balance","FY1","Budget","Nov","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Nov","Options Outstanding","1000"
"102","Balance","FY1","Budget","Dec","Common Shares Outstanding","20000"
"102","Balance","FY1","Budget","Dec","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Jan","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Jan","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Feb","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Feb","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Mar","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Mar","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Apr","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Apr","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","May","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","May","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Jun","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Jun","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Jul","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Jul","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Aug","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Aug","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Sep","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Sep","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Oct","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Oct","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Nov","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Nov","Options Outstanding","1000"
"102","Balance","FY1","Current Forecast","Dec","Common Shares Outstanding","20000"
"102","Balance","FY1","Current Forecast","Dec","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Jan","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Jan","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Feb","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Feb","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Mar","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Mar","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Apr","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Apr","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","May","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","May","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Jun","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Jun","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Jul","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Jul","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Aug","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Aug","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Sep","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Sep","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Oct","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Oct","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Nov","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Nov","Options Outstanding","1000"
"102","Balance","FY1","Previous Forecast","Dec","Common Shares Outstanding","20000"
"102","Balance","FY1","Previous Forecast","Dec","Options Outstanding","1000"
"102","Balance","FY2","Actual","Jan","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Jan","Options Outstanding","1000"
"102","Balance","FY2","Actual","Feb","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Feb","Options Outstanding","1000"
"102","Balance","FY2","Actual","Mar","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Mar","Options Outstanding","1000"
"102","Balance","FY2","Actual","Apr","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Apr","Options Outstanding","1000"
"102","Balance","FY2","Actual","May","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","May","Options Outstanding","1000"
"102","Balance","FY2","Actual","Jun","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Jun","Options Outstanding","1000"
"102","Balance","FY2","Actual","Jul","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Jul","Options Outstanding","1000"
"102","Balance","FY2","Actual","Aug","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Aug","Options Outstanding","1000"
"102","Balance","FY2","Actual","Sep","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Sep","Options Outstanding","1000"
"102","Balance","FY2","Actual","Oct","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Oct","Options Outstanding","1000"
"102","Balance","FY2","Actual","Nov","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Nov","Options Outstanding","1000"
"102","Balance","FY2","Actual","Dec","Common Shares Outstanding","20000"
"102","Balance","FY2","Actual","Dec","Options Outstanding","1000"
"102","Balance","FY2","Budget","Jan","Common Shares Outstanding","20000"
"102","Balance","FY2","Budget","Jan","Options Outstanding","1000"
