DateKey,DateAltKey,CalendarYear,CalendarQuarter,MonthOfYear,MonthName,DayOfMonth,DayOfWeek,DayName,FiscalYear,FiscalQuarter
20160219,2016-02-19 00:00:00.000,2016,1,2,February,19,6,Friday,2016,3
20160220,2016-02-20 00:00:00.000,2016,1,2,February,20,7,Saturday,2016,3
20160221,2016-02-21 00:00:00.000,2016,1,2,February,21,1,Sunday,2016,3
20160222,2016-02-22 00:00:00.000,2016,1,2,February,22,2,Monday,2016,3
20160223,2016-02-23 00:00:00.000,2016,1,2,February,23,3,Tuesday,2016,3
20160224,2016-02-24 00:00:00.000,2016,1,2,February,24,4,Wednesday,2016,3
20160225,2016-02-25 00:00:00.000,2016,1,2,February,25,5,Thursday,2016,3
20160226,2016-02-26 00:00:00.000,2016,1,2,February,26,6,Friday,2016,3
20160227,2016-02-27 00:00:00.000,2016,1,2,February,27,7,Saturday,2016,3
20160228,2016-02-28 00:00:00.000,2016,1,2,February,28,1,Sunday,2016,3
20160229,2016-02-29 00:00:00.000,2016,1,2,February,29,2,Monday,2016,3
20160301,2016-03-01 00:00:00.000,2016,1,3,March,1,3,Tuesday,2016,3
20160302,2016-03-02 00:00:00.000,2016,1,3,March,2,4,Wednesday,2016,3
20160303,2016-03-03 00:00:00.000,2016,1,3,March,3,5,Thursday,2016,3
20160304,2016-03-04 00:00:00.000,2016,1,3,March,4,6,Friday,2016,3
20160305,2016-03-05 00:00:00.000,2016,1,3,March,5,7,Saturday,2016,3
20160306,2016-03-06 00:00:00.000,2016,1,3,March,6,1,Sunday,2016,3
20160307,2016-03-07 00:00:00.000,2016,1,3,March,7,2,Monday,2016,3
20160308,2016-03-08 00:00:00.000,2016,1,3,March,8,3,Tuesday,2016,3
20160309,2016-03-09 00:00:00.000,2016,1,3,March,9,4,Wednesday,2016,3
20160310,2016-03-10 00:00:00.000,2016,1,3,March,10,5,Thursday,2016,3
20160311,2016-03-11 00:00:00.000,2016,1,3,March,11,6,Friday,2016,3
20160312,2016-03-12 00:00:00.000,2016,1,3,March,12,7,Saturday,2016,3
20160313,2016-03-13 00:00:00.000,2016,1,3,March,13,1,Sunday,2016,3
20160314,2016-03-14 00:00:00.000,2016,1,3,March,14,2,Monday,2016,3
20160315,2016-03-15 00:00:00.000,2016,1,3,March,15,3,Tuesday,2016,3
20160316,2016-03-16 00:00:00.000,2016,1,3,March,16,4,Wednesday,2016,3
20160317,2016-03-17 00:00:00.000,2016,1,3,March,17,5,Thursday,2016,3
20160318,2016-03-18 00:00:00.000,2016,1,3,March,18,6,Friday,2016,3
20160319,2016-03-19 00:00:00.000,2016,1,3,March,19,7,Saturday,2016,3
20160320,2016-03-20 00:00:00.000,2016,1,3,March,20,1,Sunday,2016,3
20160321,2016-03-21 00:00:00.000,2016,1,3,March,21,2,Monday,2016,3
20160322,2016-03-22 00:00:00.000,2016,1,3,March,22,3,Tuesday,2016,3
20160323,2016-03-23 00:00:00.000,2016,1,3,March,23,4,Wednesday,2016,3
20160324,2016-03-24 00:00:00.000,2016,1,3,March,24,5,Thursday,2016,3
20160325,2016-03-25 00:00:00.000,2016,1,3,March,25,6,Friday,2016,3
20160326,2016-03-26 00:00:00.000,2016,1,3,March,26,7,Saturday,2016,3
20160327,2016-03-27 00:00:00.000,2016,1,3,March,27,1,Sunday,2016,3
20160328,2016-03-28 00:00:00.000,2016,1,3,March,28,2,Monday,2016,3
20160329,2016-03-29 00:00:00.000,2016,1,3,March,29,3,Tuesday,2016,3
20160330,2016-03-30 00:00:00.000,2016,1,3,March,30,4,Wednesday,2016,3
20160331,2016-03-31 00:00:00.000,2016,1,3,March,31,5,Thursday,2016,3
20160401,2016-04-01 00:00:00.000,2016,2,4,April,1,6,Friday,2016,4
20160402,2016-04-02 00:00:00.000,2016,2,4,April,2,7,Saturday,2016,4
20160403,2016-04-03 00:00:00.000,2016,2,4,April,3,1,Sunday,2016,4
20160404,2016-04-04 00:00:00.000,2016,2,4,April,4,2,Monday,2016,4
20160405,2016-04-05 00:00:00.000,2016,2,4,April,5,3,Tuesday,2016,4
20160406,2016-04-06 00:00:00.000,2016,2,4,April,6,4,Wednesday,2016,4
20190201,2019-02-01 00:00:00.000,2019,1,2,February,1,6,Friday,2019,3
20190202,2019-02-02 00:00:00.000,2019,1,2,February,2,7,Saturday,2019,3
20190203,2019-02-03 00:00:00.000,2019,1,2,February,3,1,Sunday,2019,3
20190204,2019-02-04 00:00:00.000,2019,1,2,February,4,2,Monday,2019,3
20190205,2019-02-05 00:00:00.000,2019,1,2,February,5,3,Tuesday,2019,3
20190206,2019-02-06 00:00:00.000,2019,1,2,February,6,4,Wednesday,2019,3
20190207,2019-02-07 00:00:00.000,2019,1,2,February,7,5,Thursday,2019,3
20190208,2019-02-08 00:00:00.000,2019,1,2,February,8,6,Friday,2019,3
20190209,2019-02-09 00:00:00.000,2019,1,2,February,9,7,Saturday,2019,3
20190210,2019-02-10 00:00:00.000,2019,1,2,February,10,1,Sunday,2019,3
20190211,2019-02-11 00:00:00.000,2019,1,2,February,11,2,Monday,2019,3
20190212,2019-02-12 00:00:00.000,2019,1,2,February,12,3,Tuesday,2019,3
20190213,2019-02-13 00:00:00.000,2019,1,2,February,13,4,Wednesday,2019,3
20190214,2019-02-14 00:00:00.000,2019,1,2,February,14,5,Thursday,2019,3
20190215,2019-02-15 00:00:00.000,2019,1,2,February,15,6,Friday,2019,3
20190216,2019-02-16 00:00:00.000,2019,1,2,February,16,7,Saturday,2019,3
20190217,2019-02-17 00:00:00.000,2019,1,2,February,17,1,Sunday,2019,3
20190218,2019-02-18 00:00:00.000,2019,1,2,February,18,2,Monday,2019,3
20190219,2019-02-19 00:00:00.000,2019,1,2,February,19,3,Tuesday,2019,3
20190220,2019-02-20 00:00:00.000,2019,1,2,February,20,4,Wednesday,2019,3
20190221,2019-02-21 00:00:00.000,2019,1,2,February,21,5,Thursday,2019,3
20190222,2019-02-22 00:00:00.000,2019,1,2,February,22,6,Friday,2019,3
20190223,2019-02-23 00:00:00.000,2019,1,2,February,23,7,Saturday,2019,3
20190224,2019-02-24 00:00:00.000,2019,1,2,February,24,1,Sunday,2019,3
20190225,2019-02-25 00:00:00.000,2019,1,2,February,25,2,Monday,2019,3
20190226,2019-02-26 00:00:00.000,2019,1,2,February,26,3,Tuesday,2019,3
20190227,2019-02-27 00:00:00.000,2019,1,2,February,27,4,Wednesday,2019,3
20190228,2019-02-28 00:00:00.000,2019,1,2,February,28,5,Thursday,2019,3
20190301,2019-03-01 00:00:00.000,2019,1,3,March,1,6,Friday,2019,3
20190302,2019-03-02 00:00:00.000,2019,1,3,March,2,7,Saturday,2019,3
20190303,2019-03-03 00:00:00.000,2019,1,3,March,3,1,Sunday,2019,3
20190304,2019-03-04 00:00:00.000,2019,1,3,March,4,2,Monday,2019,3
20190305,2019-03-05 00:00:00.000,2019,1,3,March,5,3,Tuesday,2019,3
20190306,2019-03-06 00:00:00.000,2019,1,3,March,6,4,Wednesday,2019,3
20190307,2019-03-07 00:00:00.000,2019,1,3,March,7,5,Thursday,2019,3
20190308,2019-03-08 00:00:00.000,2019,1,3,March,8,6,Friday,2019,3
20190309,2019-03-09 00:00:00.000,2019,1,3,March,9,7,Saturday,2019,3
20190310,2019-03-10 00:00:00.000,2019,1,3,March,10,1,Sunday,2019,3
20190311,2019-03-11 00:00:00.000,2019,1,3,March,11,2,Monday,2019,3
20190312,2019-03-12 00:00:00.000,2019,1,3,March,12,3,Tuesday,2019,3
20190313,2019-03-13 00:00:00.000,2019,1,3,March,13,4,Wednesday,2019,3
20190314,2019-03-14 00:00:00.000,2019,1,3,March,14,5,Thursday,2019,3
20190315,2019-03-15 00:00:00.000,2019,1,3,March,15,6,Friday,2019,3
20190316,2019-03-16 00:00:00.000,2019,1,3,March,16,7,Saturday,2019,3
20190317,2019-03-17 00:00:00.000,2019,1,3,March,17,1,Sunday,2019,3
20190318,2019-03-18 00:00:00.000,2019,1,3,March,18,2,Monday,2019,3
20190319,2019-03-19 00:00:00.000,2019,1,3,March,19,3,Tuesday,2019,3
20190320,2019-03-20 00:00:00.000,2019,1,3,March,20,4,Wednesday,2019,3
20190321,2019-03-21 00:00:00.000,2019,1,3,March,21,5,Thursday,2019,3
20190322,2019-03-22 00:00:00.000,2019,1,3,March,22,6,Friday,2019,3
20190323,2019-03-23 00:00:00.000,2019,1,3,March,23,7,Saturday,2019,3
20190324,2019-03-24 00:00:00.000,2019,1,3,March,24,1,Sunday,2019,3
20190325,2019-03-25 00:00:00.000,2019,1,3,March,25,2,Monday,2019,3
20190326,2019-03-26 00:00:00.000,2019,1,3,March,26,3,Tuesday,2019,3
20190327,2019-03-27 00:00:00.000,2019,1,3,March,27,4,Wednesday,2019,3
20190328,2019-03-28 00:00:00.000,2019,1,3,March,28,5,Thursday,2019,3
20190329,2019-03-29 00:00:00.000,2019,1,3,March,29,6,Friday,2019,3
20190330,2019-03-30 00:00:00.000,2019,1,3,March,30,7,Saturday,2019,3
20190331,2019-03-31 00:00:00.000,2019,1,3,March,31,1,Sunday,2019,3
20190401,2019-04-01 00:00:00.000,2019,2,4,April,1,2,Monday,2019,4
20190402,2019-04-02 00:00:00.000,2019,2,4,April,2,3,Tuesday,2019,4
20190403,2019-04-03 00:00:00.000,2019,2,4,April,3,4,Wednesday,2019,4
20190404,2019-04-04 00:00:00.000,2019,2,4,April,4,5,Thursday,2019,4
20190405,2019-04-05 00:00:00.000,2019,2,4,April,5,6,Friday,2019,4
20190406,2019-04-06 00:00:00.000,2019,2,4,April,6,7,Saturday,2019,4
20190407,2019-04-07 00:00:00.000,2019,2,4,April,7,1,Sunday,2019,4
20190408,2019-04-08 00:00:00.000,2019,2,4,April,8,2,Monday,2019,4
20190409,2019-04-09 00:00:00.000,2019,2,4,April,9,3,Tuesday,2019,4
20190410,2019-04-10 00:00:00.000,2019,2,4,April,10,4,Wednesday,2019,4
20190411,2019-04-11 00:00:00.000,2019,2,4,April,11,5,Thursday,2019,4
20190412,2019-04-12 00:00:00.000,2019,2,4,April,12,6,Friday,2019,4
20190413,2019-04-13 00:00:00.000,2019,2,4,April,13,7,Saturday,2019,4
20190414,2019-04-14 00:00:00.000,2019,2,4,April,14,1,Sunday,2019,4
20190415,2019-04-15 00:00:00.000,2019,2,4,April,15,2,Monday,2019,4
20190416,2019-04-16 00:00:00.000,2019,2,4,April,16,3,Tuesday,2019,4
20190417,2019-04-17 00:00:00.000,2019,2,4,April,17,4,Wednesday,2019,4
20190418,2019-04-18 00:00:00.000,2019,2,4,April,18,5,Thursday,2019,4
20190419,2019-04-19 00:00:00.000,2019,2,4,April,19,6,Friday,2019,4
20190420,2019-04-20 00:00:00.000,2019,2,4,April,20,7,Saturday,2019,4
20190421,2019-04-21 00:00:00.000,2019,2,4,April,21,1,Sunday,2019,4
20190422,2019-04-22 00:00:00.000,2019,2,4,April,22,2,Monday,2019,4
20190423,2019-04-23 00:00:00.000,2019,2,4,April,23,3,Tuesday,2019,4
20190424,2019-04-24 00:00:00.000,2019,2,4,April,24,4,Wednesday,2019,4
20190425,2019-04-25 00:00:00.000,2019,2,4,April,25,5,Thursday,2019,4
20190426,2019-04-26 00:00:00.000,2019,2,4,April,26,6,Friday,2019,4
20190427,2019-04-27 00:00:00.000,2019,2,4,April,27,7,Saturday,2019,4
20190428,2019-04-28 00:00:00.000,2019,2,4,April,28,1,Sunday,2019,4
20190429,2019-04-29 00:00:00.000,2019,2,4,April,29,2,Monday,2019,4
20190430,2019-04-30 00:00:00.000,2019,2,4,April,30,3,Tuesday,2019,4
20190501,2019-05-01 00:00:00.000,2019,2,5,May,1,4,Wednesday,2019,4
20190502,2019-05-02 00:00:00.000,2019,2,5,May,2,5,Thursday,2019,4
20190503,2019-05-03 00:00:00.000,2019,2,5,May,3,6,Friday,2019,4
20190504,2019-05-04 00:00:00.000,2019,2,5,May,4,7,Saturday,2019,4
20190505,2019-05-05 00:00:00.000,2019,2,5,May,5,1,Sunday,2019,4
20190506,2019-05-06 00:00:00.000,2019,2,5,May,6,2,Monday,2019,4
20151117,2015-11-17 00:00:00.000,2015,4,11,November,17,3,Tuesday,2016,2
20151118,2015-11-18 00:00:00.000,2015,4,11,November,18,4,Wednesday,2016,2
20151119,2015-11-19 00:00:00.000,2015,4,11,November,19,5,Thursday,2016,2
20151120,2015-11-20 00:00:00.000,2015,4,11,November,20,6,Friday,2016,2
20151121,2015-11-21 00:00:00.000,2015,4,11,November,21,7,Saturday,2016,2
20151122,2015-11-22 00:00:00.000,2015,4,11,November,22,1,Sunday,2016,2
20151123,2015-11-23 00:00:00.000,2015,4,11,November,23,2,Monday,2016,2
20151124,2015-11-24 00:00:00.000,2015,4,11,November,24,3,Tuesday,2016,2
20151125,2015-11-25 00:00:00.000,2015,4,11,November,25,4,Wednesday,2016,2
20151126,2015-11-26 00:00:00.000,2015,4,11,November,26,5,Thursday,2016,2
20151127,2015-11-27 00:00:00.000,2015,4,11,November,27,6,Friday,2016,2
20151128,2015-11-28 00:00:00.000,2015,4,11,November,28,7,Saturday,2016,2
20151129,2015-11-29 00:00:00.000,2015,4,11,November,29,1,Sunday,2016,2
20151130,2015-11-30 00:00:00.000,2015,4,11,November,30,2,Monday,2016,2
20151201,2015-12-01 00:00:00.000,2015,4,12,December,1,3,Tuesday,2016,2
20151202,2015-12-02 00:00:00.000,2015,4,12,December,2,4,Wednesday,2016,2
20151203,2015-12-03 00:00:00.000,2015,4,12,December,3,5,Thursday,2016,2
20151204,2015-12-04 00:00:00.000,2015,4,12,December,4,6,Friday,2016,2
20151205,2015-12-05 00:00:00.000,2015,4,12,December,5,7,Saturday,2016,2
20151206,2015-12-06 00:00:00.000,2015,4,12,December,6,1,Sunday,2016,2
20151207,2015-12-07 00:00:00.000,2015,4,12,December,7,2,Monday,2016,2
20151208,2015-12-08 00:00:00.000,2015,4,12,December,8,3,Tuesday,2016,2
20151209,2015-12-09 00:00:00.000,2015,4,12,December,9,4,Wednesday,2016,2
20151210,2015-12-10 00:00:00.000,2015,4,12,December,10,5,Thursday,2016,2
20151211,2015-12-11 00:00:00.000,2015,4,12,December,11,6,Friday,2016,2
20151212,2015-12-12 00:00:00.000,2015,4,12,December,12,7,Saturday,2016,2
20151213,2015-12-13 00:00:00.000,2015,4,12,December,13,1,Sunday,2016,2
20151214,2015-12-14 00:00:00.000,2015,4,12,December,14,2,Monday,2016,2
20151215,2015-12-15 00:00:00.000,2015,4,12,December,15,3,Tuesday,2016,2
20151216,2015-12-16 00:00:00.000,2015,4,12,December,16,4,Wednesday,2016,2
20151217,2015-12-17 00:00:00.000,2015,4,12,December,17,5,Thursday,2016,2
20151218,2015-12-18 00:00:00.000,2015,4,12,December,18,6,Friday,2016,2
20151219,2015-12-19 00:00:00.000,2015,4,12,December,19,7,Saturday,2016,2
20151220,2015-12-20 00:00:00.000,2015,4,12,December,20,1,Sunday,2016,2
20151221,2015-12-21 00:00:00.000,2015,4,12,December,21,2,Monday,2016,2
20151222,2015-12-22 00:00:00.000,2015,4,12,December,22,3,Tuesday,2016,2
20151223,2015-12-23 00:00:00.000,2015,4,12,December,23,4,Wednesday,2016,2
20151224,2015-12-24 00:00:00.000,2015,4,12,December,24,5,Thursday,2016,2
20151225,2015-12-25 00:00:00.000,2015,4,12,December,25,6,Friday,2016,2
20151226,2015-12-26 00:00:00.000,2015,4,12,December,26,7,Saturday,2016,2
20151227,2015-12-27 00:00:00.000,2015,4,12,December,27,1,Sunday,2016,2
20151228,2015-12-28 00:00:00.000,2015,4,12,December,28,2,Monday,2016,2
20151229,2015-12-29 00:00:00.000,2015,4,12,December,29,3,Tuesday,2016,2
20151230,2015-12-30 00:00:00.000,2015,4,12,December,30,4,Wednesday,2016,2
20151231,2015-12-31 00:00:00.000,2015,4,12,December,31,5,Thursday,2016,2
20160101,2016-01-01 00:00:00.000,2016,1,1,January,1,6,Friday,2016,3
20160102,2016-01-02 00:00:00.000,2016,1,1,January,2,7,Saturday,2016,3
20160103,2016-01-03 00:00:00.000,2016,1,1,January,3,1,Sunday,2016,3
20160104,2016-01-04 00:00:00.000,2016,1,1,January,4,2,Monday,2016,3
20160105,2016-01-05 00:00:00.000,2016,1,1,January,5,3,Tuesday,2016,3
20160106,2016-01-06 00:00:00.000,2016,1,1,January,6,4,Wednesday,2016,3
20160107,2016-01-07 00:00:00.000,2016,1,1,January,7,5,Thursday,2016,3
20160108,2016-01-08 00:00:00.000,2016,1,1,January,8,6,Friday,2016,3
20160109,2016-01-09 00:00:00.000,2016,1,1,January,9,7,Saturday,2016,3
20160110,2016-01-10 00:00:00.000,2016,1,1,January,10,1,Sunday,2016,3
20160111,2016-01-11 00:00:00.000,2016,1,1,January,11,2,Monday,2016,3
20160112,2016-01-12 00:00:00.000,2016,1,1,January,12,3,Tuesday,2016,3
20160113,2016-01-13 00:00:00.000,2016,1,1,January,13,4,Wednesday,2016,3
20160114,2016-01-14 00:00:00.000,2016,1,1,January,14,5,Thursday,2016,3
20160115,2016-01-15 00:00:00.000,2016,1,1,January,15,6,Friday,2016,3
20160116,2016-01-16 00:00:00.000,2016,1,1,January,16,7,Saturday,2016,3
20160117,2016-01-17 00:00:00.000,2016,1,1,January,17,1,Sunday,2016,3
20160118,2016-01-18 00:00:00.000,2016,1,1,January,18,2,Monday,2016,3
20160119,2016-01-19 00:00:00.000,2016,1,1,January,19,3,Tuesday,2016,3
20160120,2016-01-20 00:00:00.000,2016,1,1,January,20,4,Wednesday,2016,3
20160121,2016-01-21 00:00:00.000,2016,1,1,January,21,5,Thursday,2016,3
20160122,2016-01-22 00:00:00.000,2016,1,1,January,22,6,Friday,2016,3
20160123,2016-01-23 00:00:00.000,2016,1,1,January,23,7,Saturday,2016,3
20160124,2016-01-24 00:00:00.000,2016,1,1,January,24,1,Sunday,2016,3
20160125,2016-01-25 00:00:00.000,2016,1,1,January,25,2,Monday,2016,3
20160126,2016-01-26 00:00:00.000,2016,1,1,January,26,3,Tuesday,2016,3
20160127,2016-01-27 00:00:00.000,2016,1,1,January,27,4,Wednesday,2016,3
20160128,2016-01-28 00:00:00.000,2016,1,1,January,28,5,Thursday,2016,3
20160129,2016-01-29 00:00:00.000,2016,1,1,January,29,6,Friday,2016,3
20160130,2016-01-30 00:00:00.000,2016,1,1,January,30,7,Saturday,2016,3
20160131,2016-01-31 00:00:00.000,2016,1,1,January,31,1,Sunday,2016,3
20160201,2016-02-01 00:00:00.000,2016,1,2,February,1,2,Monday,2016,3
20160202,2016-02-02 00:00:00.000,2016,1,2,February,2,3,Tuesday,2016,3
20160203,2016-02-03 00:00:00.000,2016,1,2,February,3,4,Wednesday,2016,3
20160204,2016-02-04 00:00:00.000,2016,1,2,February,4,5,Thursday,2016,3
20160205,2016-02-05 00:00:00.000,2016,1,2,February,5,6,Friday,2016,3
20160206,2016-02-06 00:00:00.000,2016,1,2,February,6,7,Saturday,2016,3
20160207,2016-02-07 00:00:00.000,2016,1,2,February,7,1,Sunday,2016,3
20160208,2016-02-08 00:00:00.000,2016,1,2,February,8,2,Monday,2016,3
20160209,2016-02-09 00:00:00.000,2016,1,2,February,9,3,Tuesday,2016,3
20160210,2016-02-10 00:00:00.000,2016,1,2,February,10,4,Wednesday,2016,3
20160211,2016-02-11 00:00:00.000,2016,1,2,February,11,5,Thursday,2016,3
20160212,2016-02-12 00:00:00.000,2016,1,2,February,12,6,Friday,2016,3
20160213,2016-02-13 00:00:00.000,2016,1,2,February,13,7,Saturday,2016,3
20160214,2016-02-14 00:00:00.000,2016,1,2,February,14,1,Sunday,2016,3
20160407,2016-04-07 00:00:00.000,2016,2,4,April,7,5,Thursday,2016,4
20190507,2019-05-07 00:00:00.000,2019,2,5,May,7,3,Tuesday,2019,4
20190508,2019-05-08 00:00:00.000,2019,2,5,May,8,4,Wednesday,2019,4
20190509,2019-05-09 00:00:00.000,2019,2,5,May,9,5,Thursday,2019,4
20190510,2019-05-10 00:00:00.000,2019,2,5,May,10,6,Friday,2019,4
20190511,2019-05-11 00:00:00.000,2019,2,5,May,11,7,Saturday,2019,4
20190512,2019-05-12 00:00:00.000,2019,2,5,May,12,1,Sunday,2019,4
20190513,2019-05-13 00:00:00.000,2019,2,5,May,13,2,Monday,2019,4
20190514,2019-05-14 00:00:00.000,2019,2,5,May,14,3,Tuesday,2019,4
20190515,2019-05-15 00:00:00.000,2019,2,5,May,15,4,Wednesday,2019,4
20190516,2019-05-16 00:00:00.000,2019,2,5,May,16,5,Thursday,2019,4
20190517,2019-05-17 00:00:00.000,2019,2,5,May,17,6,Friday,2019,4
20190518,2019-05-18 00:00:00.000,2019,2,5,May,18,7,Saturday,2019,4
20190519,2019-05-19 00:00:00.000,2019,2,5,May,19,1,Sunday,2019,4
20190520,2019-05-20 00:00:00.000,2019,2,5,May,20,2,Monday,2019,4
20190521,2019-05-21 00:00:00.000,2019,2,5,May,21,3,Tuesday,2019,4
20190522,2019-05-22 00:00:00.000,2019,2,5,May,22,4,Wednesday,2019,4
20190523,2019-05-23 00:00:00.000,2019,2,5,May,23,5,Thursday,2019,4
20190524,2019-05-24 00:00:00.000,2019,2,5,May,24,6,Friday,2019,4
20190525,2019-05-25 00:00:00.000,2019,2,5,May,25,7,Saturday,2019,4
20190526,2019-05-26 00:00:00.000,2019,2,5,May,26,1,Sunday,2019,4
20190527,2019-05-27 00:00:00.000,2019,2,5,May,27,2,Monday,2019,4
20190528,2019-05-28 00:00:00.000,2019,2,5,May,28,3,Tuesday,2019,4
20190529,2019-05-29 00:00:00.000,2019,2,5,May,29,4,Wednesday,2019,4
20190530,2019-05-30 00:00:00.000,2019,2,5,May,30,5,Thursday,2019,4
20190531,2019-05-31 00:00:00.000,2019,2,5,May,31,6,Friday,2019,4
20190601,2019-06-01 00:00:00.000,2019,2,6,June,1,7,Saturday,2019,4
20190602,2019-06-02 00:00:00.000,2019,2,6,June,2,1,Sunday,2019,4
20190603,2019-06-03 00:00:00.000,2019,2,6,June,3,2,Monday,2019,4
20190604,2019-06-04 00:00:00.000,2019,2,6,June,4,3,Tuesday,2019,4
20190605,2019-06-05 00:00:00.000,2019,2,6,June,5,4,Wednesday,2019,4
20190606,2019-06-06 00:00:00.000,2019,2,6,June,6,5,Thursday,2019,4
20190607,2019-06-07 00:00:00.000,2019,2,6,June,7,6,Friday,2019,4
20190608,2019-06-08 00:00:00.000,2019,2,6,June,8,7,Saturday,2019,4
20190609,2019-06-09 00:00:00.000,2019,2,6,June,9,1,Sunday,2019,4
20190610,2019-06-10 00:00:00.000,2019,2,6,June,10,2,Monday,2019,4
20190611,2019-06-11 00:00:00.000,2019,2,6,June,11,3,Tuesday,2019,4
20190612,2019-06-12 00:00:00.000,2019,2,6,June,12,4,Wednesday,2019,4
20190613,2019-06-13 00:00:00.000,2019,2,6,June,13,5,Thursday,2019,4
20190614,2019-06-14 00:00:00.000,2019,2,6,June,14,6,Friday,2019,4
20190615,2019-06-15 00:00:00.000,2019,2,6,June,15,7,Saturday,2019,4
20190616,2019-06-16 00:00:00.000,2019,2,6,June,16,1,Sunday,2019,4
20190617,2019-06-17 00:00:00.000,2019,2,6,June,17,2,Monday,2019,4
20190618,2019-06-18 00:00:00.000,2019,2,6,June,18,3,Tuesday,2019,4
20190619,2019-06-19 00:00:00.000,2019,2,6,June,19,4,Wednesday,2019,4
20190620,2019-06-20 00:00:00.000,2019,2,6,June,20,5,Thursday,2019,4
20190621,2019-06-21 00:00:00.000,2019,2,6,June,21,6,Friday,2019,4
20190622,2019-06-22 00:00:00.000,2019,2,6,June,22,7,Saturday,2019,4
20190623,2019-06-23 00:00:00.000,2019,2,6,June,23,1,Sunday,2019,4
20190624,2019-06-24 00:00:00.000,2019,2,6,June,24,2,Monday,2019,4
